Entity,Code,Day,average_co2_concentrations,trend_co2_concentrations
World,OWID_WRL,1/15/1980,338.55,337.93
World,OWID_WRL,2/15/1980,339.27,338.22
World,OWID_WRL,3/15/1980,339.6,338.25
World,OWID_WRL,4/15/1980,340,338.37
World,OWID_WRL,5/15/1980,340.43,338.9
World,OWID_WRL,6/15/1980,339.99,339.2
World,OWID_WRL,7/15/1980,338.44,339.3
World,OWID_WRL,8/15/1980,337.21,339.49
World,OWID_WRL,9/15/1980,337.05,339.45
World,OWID_WRL,10/15/1980,337.82,339.17
World,OWID_WRL,11/15/1980,338.93,339.26
World,OWID_WRL,12/15/1980,339.64,339.4
World,OWID_WRL,1/15/1981,340.18,339.55
World,OWID_WRL,2/15/1981,340.74,339.7
World,OWID_WRL,3/15/1981,341.38,340.02
World,OWID_WRL,4/15/1981,341.68,340.06
World,OWID_WRL,5/15/1981,341.43,339.89
World,OWID_WRL,6/15/1981,340.62,339.84
World,OWID_WRL,7/15/1981,339.22,340.07
World,OWID_WRL,8/15/1981,338.06,340.35
World,OWID_WRL,9/15/1981,337.97,340.36
World,OWID_WRL,10/15/1981,339.07,340.41
World,OWID_WRL,11/15/1981,340.17,340.5
World,OWID_WRL,12/15/1981,340.74,340.51
World,OWID_WRL,1/15/1982,341.37,340.76
World,OWID_WRL,2/15/1982,341.95,340.89
World,OWID_WRL,3/15/1982,342.23,340.85
World,OWID_WRL,4/15/1982,342.52,340.9
World,OWID_WRL,5/15/1982,342.36,340.82
World,OWID_WRL,6/15/1982,341.49,340.72
World,OWID_WRL,7/15/1982,339.75,340.61
World,OWID_WRL,8/15/1982,338.11,340.4
World,OWID_WRL,9/15/1982,338.16,340.54
World,OWID_WRL,10/15/1982,339.62,340.97
World,OWID_WRL,11/15/1982,340.95,341.28
World,OWID_WRL,12/15/1982,341.77,341.53
World,OWID_WRL,1/15/1983,342.37,341.71
World,OWID_WRL,2/15/1983,342.74,341.71
World,OWID_WRL,3/15/1983,343.03,341.7
World,OWID_WRL,4/15/1983,343.51,341.93
World,OWID_WRL,5/15/1983,343.84,342.3
World,OWID_WRL,6/15/1983,343.5,342.7
World,OWID_WRL,7/15/1983,342.15,342.91
World,OWID_WRL,8/15/1983,340.63,342.86
World,OWID_WRL,9/15/1983,340.54,342.96
World,OWID_WRL,10/15/1983,341.75,343.16
World,OWID_WRL,11/15/1983,342.82,343.17
World,OWID_WRL,12/15/1983,343.49,343.27
World,OWID_WRL,1/15/1984,344.32,343.66
World,OWID_WRL,2/15/1984,344.83,343.83
World,OWID_WRL,3/15/1984,344.96,343.61
World,OWID_WRL,4/15/1984,345.19,343.56
World,OWID_WRL,5/15/1984,345.34,343.79
World,OWID_WRL,6/15/1984,344.57,343.8
World,OWID_WRL,7/15/1984,343.2,344.01
World,OWID_WRL,8/15/1984,342.21,344.5
World,OWID_WRL,9/15/1984,342.13,344.58
World,OWID_WRL,10/15/1984,342.99,344.37
World,OWID_WRL,11/15/1984,344.16,344.47
World,OWID_WRL,12/15/1984,345.01,344.72
World,OWID_WRL,1/15/1985,345.36,344.67
World,OWID_WRL,2/15/1985,345.81,344.78
World,OWID_WRL,3/15/1985,346.65,345.33
World,OWID_WRL,4/15/1985,346.94,345.34
World,OWID_WRL,5/15/1985,346.78,345.21
World,OWID_WRL,6/15/1985,346.28,345.48
World,OWID_WRL,7/15/1985,344.93,345.76
World,OWID_WRL,8/15/1985,343.42,345.73
World,OWID_WRL,9/15/1985,343.37,345.82
World,OWID_WRL,10/15/1985,344.65,346.04
World,OWID_WRL,11/15/1985,345.79,346.12
World,OWID_WRL,12/15/1985,346.55,346.25
World,OWID_WRL,1/15/1986,347.11,346.42
World,OWID_WRL,2/15/1986,347.33,346.34
World,OWID_WRL,3/15/1986,347.71,346.38
World,OWID_WRL,4/15/1986,348.22,346.61
World,OWID_WRL,5/15/1986,348.31,346.75
World,OWID_WRL,6/15/1986,347.75,346.98
World,OWID_WRL,7/15/1986,346.3,347.14
World,OWID_WRL,8/15/1986,344.91,347.21
World,OWID_WRL,9/15/1986,344.85,347.25
World,OWID_WRL,10/15/1986,346.03,347.39
World,OWID_WRL,11/15/1986,347.29,347.62
World,OWID_WRL,12/15/1986,347.75,347.45
World,OWID_WRL,1/15/1987,348,347.22
