Entity,Code,Day,temperature_anomaly
Northern Hemisphere,,1880-01-15,-0.34
Northern Hemisphere,,1880-02-15,-0.5
Northern Hemisphere,,1880-03-15,-0.22
Northern Hemisphere,,1880-04-15,-0.29
Northern Hemisphere,,1880-05-15,-0.05
Northern Hemisphere,,1880-06-15,-0.15
Northern Hemisphere,,1880-07-15,-0.17
Northern Hemisphere,,1880-08-15,-0.25
Northern Hemisphere,,1880-09-15,-0.22
Northern Hemisphere,,1880-10-15,-0.31
Northern Hemisphere,,1880-11-15,-0.42
Northern Hemisphere,,1880-12-15,-0.39
Northern Hemisphere,,1881-01-15,-0.3
Northern Hemisphere,,1881-02-15,-0.21
Northern Hemisphere,,1881-03-15,-0.03
Northern Hemisphere,,1881-04-15,0.01
Northern Hemisphere,,1881-05-15,0.04
Northern Hemisphere,,1881-06-15,-0.32
Northern Hemisphere,,1881-07-15,0.09
Northern Hemisphere,,1881-08-15,-0.03
Northern Hemisphere,,1881-09-15,-0.25
Northern Hemisphere,,1881-10-15,-0.42
Northern Hemisphere,,1881-11-15,-0.36
Northern Hemisphere,,1881-12-15,-0.22
Northern Hemisphere,,1882-01-15,0.27
Northern Hemisphere,,1882-02-15,0.22
Northern Hemisphere,,1882-03-15,0.02
Northern Hemisphere,,1882-04-15,-0.31
Northern Hemisphere,,1882-05-15,-0.24
Northern Hemisphere,,1882-06-15,-0.29
Northern Hemisphere,,1882-07-15,-0.27
Northern Hemisphere,,1882-08-15,-0.14
Northern Hemisphere,,1882-09-15,-0.24
Northern Hemisphere,,1882-10-15,-0.52
Northern Hemisphere,,1882-11-15,-0.32
Northern Hemisphere,,1882-12-15,-0.68
Northern Hemisphere,,1883-01-15,-0.57
Northern Hemisphere,,1883-02-15,-0.65
Northern Hemisphere,,1883-03-15,-0.15
Northern Hemisphere,,1883-04-15,-0.3
Northern Hemisphere,,1883-05-15,-0.25
Northern Hemisphere,,1883-06-15,-0.11
Northern Hemisphere,,1883-07-15,-0.05
Northern Hemisphere,,1883-08-15,-0.22
Northern Hemisphere,,1883-09-15,-0.33
Northern Hemisphere,,1883-10-15,-0.16
Northern Hemisphere,,1883-11-15,-0.44
Northern Hemisphere,,1883-12-15,-0.14
Northern Hemisphere,,1884-01-15,-0.16
Northern Hemisphere,,1884-02-15,-0.1
Northern Hemisphere,,1884-03-15,-0.64
Northern Hemisphere,,1884-04-15,-0.59
Northern Hemisphere,,1884-05-15,-0.35
Northern Hemisphere,,1884-06-15,-0.41
Northern Hemisphere,,1884-07-15,-0.44
Northern Hemisphere,,1884-08-15,-0.5
Northern Hemisphere,,1884-09-15,-0.44
Northern Hemisphere,,1884-10-15,-0.44
Northern Hemisphere,,1884-11-15,-0.57
Northern Hemisphere,,1884-12-15,-0.46
Northern Hemisphere,,1885-01-15,-1
Northern Hemisphere,,1885-02-15,-0.44
Northern Hemisphere,,1885-03-15,-0.23
Northern Hemisphere,,1885-04-15,-0.48
Northern Hemisphere,,1885-05-15,-0.58
Northern Hemisphere,,1885-06-15,-0.44
Northern Hemisphere,,1885-07-15,-0.34
Northern Hemisphere,,1885-08-15,-0.41
Northern Hemisphere,,1885-09-15,-0.4
Northern Hemisphere,,1885-10-15,-0.37
Northern Hemisphere,,1885-11-15,-0.38
